"","colony_num","new_yard","split_date","parent_yard","parent_id","varroa_5cup","splits_made","stratum","trt","trt_numeric","ch2_date","ch2_var_tray","ch2_var_wash","ch2_var_total","ch2_wash_workers","ch2_wash_drones","ch2_wash_queens","ch18_date","ch18_qstatus","ch18_eggs","ch18_ageoldest","ch18_age","ch30_date","ch30_eggs","ch30_qstatus","ch30_ageoldest","ch30_age","lay_18","lay_30","start_layday","ch44_date","ch44_eggs","ch44_qstatus","ch44_fob","ch58_date","ch58_eggs","ch58_qstatus","ch58_fob","ch72_date","ch72_eggs","ch72_qstatus","ch72_fob","ch72_supered","ch77_var_total","ch77_wash_workers","ch77_wash_drones","ch77_wash_queens","ch77_supers_use","ch77_lbs","bottom_board","supers_supering_sheet_dontuse","chpost_date","post_supers_use","post_lbs","post_q_status","post_quick_fob","post_issues","chpost_var_total","chpost_wash_workers","chpost_wash_drones","chpost_wash_queens","date_decided_remove","exp_day_decided_remove","reason_removal","date","ch77_qstatus","ch77_efb","ch77_deeps_num","ch77_mediums_num","frames_bees","frames_wbr","frames_dbr","frames_honey","trt_label","trt_type","efb_columns","efb","ch2_wash_bees","ch77_wash_bees","chpost_wash_bees","qstatuses","failed","weak","QL","DL","established","issues","ch77_lbs_C","ch77_kgs_C","post_lbs_C","post_kgs_C"
"21","22-021","Shaw","3/8/22","MOT","20-18",3,3,5,"2-Apivar",2,"3/10/22",NA,NA,3,284,9,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QS","L2",5,"#VALUE!","25",25,"4/21/22","Y","QR",7,"5/5/22","Y","QR","11","5/19/22","Y","QR",7,"",5,310,23,0,1,120.4,"Normal",1,"7/1/22",1,139,"QR",14,NA,4,366,10,0,"",NA,"","2022-05-24","QS",NA,2,1,2.7975,1.175,0.25,4.775,"Apivar","Synthetic"," NA",0,293,333,376,"QR QR QR QS ",0,0,0,0,1,0,120.4,54.6616,139,63.106
"22","22-022","Shaw","3/8/22","MOT","21-008",3,2,5,"6-ManyDribble",6,"3/10/22",NA,NA,0,337,1,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QS","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",6,"5/5/22","Y","QR","10","5/19/22","Y","QR",14,"",1,336,1,0,1,132.2,"Normal",1,"7/1/22",1,157.8,"QL",16,1,20,340,1,0,"",NA,"","2022-05-24","QR",NA,2,1,4.275,1.6125,0,5.8775,"5x OA Dribble","Organic"," NA",0,338,337,341,"QR QR QR QR ",0,0,0,0,1,0,132.2,60.0188,157.8,71.6412
"23","22-023","Shaw","3/8/22","MOT","21-008",3,2,5,"1-Control",1,"3/10/22",NA,NA,1,269,2,0,"3/26/22","QS","Y","L5",8,"4/7/22","Y","QR","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",44,"EFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control","EFB NA",1,271,NA,NA,"QR NA NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA
"24","22-024","Shaw","3/8/22","MOT","21-001",1,2,6,"2-Apivar",2,"3/10/22",NA,NA,1,288,0,0,"3/26/22","QS","Y","Eggs",2,"4/7/22","Y","QS","Capped",NA,"16","#VALUE!",16,"4/21/22","Y","QR",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",44,"EFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Apivar","Synthetic","EFB NA",1,288,NA,NA,"QR NA NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA
"25","22-025","Shaw","3/8/22","MOT","21-001",1,2,6,"5-Vapor18",5,"3/10/22",NA,NA,0,287,0,0,"3/26/22","QS","Y","L4",7,"4/7/22","Y","QR","Capped",NA,"11","#VALUE!",11,"4/21/22","Y","QR",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/21/22",44,"EFB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OA Vapor","Organic","EFB NA",1,287,NA,NA,"QR NA NA NA EFB",0,0,0,0,1,1,NA,NA,NA,NA
"26","22-026","Shaw","3/8/22","MOT","20-69",24,5,1,"4-Dribble18",4,"3/10/22",9,5,14,261,8,0,"3/26/22","QNS","N",NA,NA,"4/7/22","Y","QR","Prepupa",11,"#VALUE!","19",19,"4/21/22","Y","QR",5.5,"5/5/22","Y","QR","8","5/19/22","Y","QR",4.5,"",32,311,3,0,1,106,"Normal",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/24/22",77,"EFB","2022-05-24","QR","Observed",2,1,1.5,1.525,0,2.5,"OA Dribble","Organic","EFB Observed",1,269,314,NA,"QR QR QR QR EFB",0,0,0,0,1,1,106,48.124,NA,NA
"27","22-027","Shaw","3/8/22","MOT","20-69",24,5,1,"1-Control",1,"3/10/22",8,4,12,314,2,0,"3/26/22","QS","Y","L1",4,"4/7/22","Y","QR","Capped",NA,"14","#VALUE!",14,"4/21/22","Y","QR",5.5,"5/5/22","Y","QR","10","5/19/22","Y","QR",6,"",35,319,1,0,1,97.8,"Normal",1,"7/1/22",1,93.8,"QR",4,NA,135,388,0,0,"",NA,"","2022-05-24","QS",NA,2,1,1.9,1.65,0.05,2.4,"Control","Control"," NA",0,316,320,388,"QR QR QR QS ",0,0,0,0,1,0,97.8,44.4012,93.8,42.5852
"28","22-028","Shaw","3/8/22","MOT","20-69",24,5,1,"5-Vapor18",5,"3/10/22",NA,NA,8,282,9,0,"3/26/22","QNS","N",NA,NA,"4/7/22","N","QL",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"OA Vapor","Organic","Failed to mate NA",0,291,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"29","22-029","Shaw","3/8/22","MOT","20-69",24,5,1,"7-HopGuard",7,"3/10/22",NA,NA,8,284,11,0,"3/26/22","VQS","N",NA,NA,"4/7/22","N","QL",NA,NA,"#VALUE!","#VALUE!",NA,"4/21/22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4/7/22",30,"Failed to mate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HopGuard","Organic","Failed to mate NA",0,295,NA,NA,"NA NA NA NA Failed to mate",1,0,0,0,0,1,NA,NA,NA,NA
"30","22-030","Shaw","3/8/22","MOT","20-69",24,5,1,"6-ManyDribble",6,"3/10/22",NA,NA,3,270,17,0,"3/26/22","QR","Y","L5",8,"4/7/22","Y","QR","Capped",NA,"10","#VALUE!",10,"4/21/22","Y","QR",3.5,"5/5/22","Y","QR","6","5/19/22","Y","QR",3.5,"",2,349,2,0,1,93.8,"Normal",1,"7/1/22",1,94.6,"QS",5,NA,6,385,0,0,"",NA,"","2022-05-24","QS",NA,2,1,1.925,1.225,0,1.775,"5x OA Dribble","Organic"," NA",0,287,351,385,"QR QR QR QS ",0,0,0,0,1,0,93.8,42.5852,94.6,42.9484
